No.,Page,발표 제목 (Title),초록 (Abstract),Library Keywords (Normalized)
1,1,Accuracy Assessment of UAV Photogrammetry for DEM Generation in an Institutional Environment,"This poster evaluates the accuracy of UAV photogrammetry for Digital Elevation Model generation through comparison with Differential GNSS ground survey data at Federal Polytechnic Nekede, Nigeria.",
2,1,"Hiroshima ""Atomic Bomb Drawings"" Visualization Project (Poster)","An 'Atomic Bomb Drawings' project in which high school students in Hiroshima create paintings based on survivors' testimonies. Presented as an interactive, map-based digital archive using Re:Earth platform.",Re:Earth
3,1,Eurostat vs OSM vs Census: Choosing Open Mobility Data for Urban Function Maps,"Which open mobility dataset should you trust for urban function analysis? Using Copernicus Urban Atlas polygons, we compare Eurostat experimental MNO statistics, OpenStreetMap GPS traces, and census commuting flows.",
4,1,Integration of Numerical Weather Prediction Models: A 3D Spatial Information Approach,This presentation introduces a workflow for converting numerical weather prediction data from the Korea Meteorological Administration into real-time 3D visualizations using the open-source CesiumJS platform.,CesiumJS
5,1,ImageN for GeoSpatial,Introducing ImageN as amazing raster image procession engine for the Java GeoSpatial Community.,ImageN
6,1,Citizen-Driven War Memory Mapping: Enabling Non-Experts to Build Geospatial Archives with Re:Earth CMS and Visualizer,"In Nagaoka, Japan, 23 citizens aged 11-70+ with no GIS experience mapped the 1945 air raid using Re:Earth, an open-source WebGIS platform.",Re:Earth
7,1,Geospatial Data Gateway: Composing Spatial Features Across Databases and APIs,"A lightweight Geospatial Data Gateway built with Go that composes spatial features from multiple databases and APIs at request time, serving enriched GeoJSON through OGC API Features standard.",
8,1,GeoGirafe: a community-driven WebGIS built plugin by plugin,"GeoGirafe is a framework-free WebGIS built on standard WebComponents. This talk presents its feature set, plugin-based architecture, community governance model, and the funding structure.",GeoGirafe
9,1,"Green Infrastructure Baseline using Open-Source Geospatial Data for Dammam, Saudi Arabia","This study analyzes multi decadal spatiotemporal land cover change in Dammam, Saudi Arabia (1986-2025) to establish a green infrastructure baseline using Landsat and Sentinel-2 data classified using Random Forest in QGIS.",QGIS
10,1,Using AI and Digital Twin in Solving One of the World's Most Plastic Polluting River,"The Pasig River in Metro Manila is a major global source of ocean plastic pollution. Leveraging digital twin and AI-Machine Learning models, this project enables real-time monitoring and predictive analysis of plastic waste flows.",
11,1,Ensuring Tile Quality in MapLibre Through Automated Testing and CI,"This talk presents how MapLibre approaches tile quality using automated testing and CI pipelines, sharing practical lessons and reusable patterns for open-source geospatial projects.",MapLibre
12,1,Bridging LLM and GIS via Model Context Protocol for Conversational Flood Data Analysis,"This study proposes a Conversational GIS system that integrates LLM with MCP, allowing non-technical users to access and analyze geospatial data through natural language, supporting flood risk analysis.",
13,1,"DigiAgriApp, 2026 updates","DigiAgriApp is a free open-source suite to monitor agricultural fields. It is a comprehensive client-server platform designed to manage agricultural data with high granularity, from fields down to individual plants.",DigiAgriApp
14,1,DHIS2 to QGIS: Geospatial Analysis of Climate-Associated Health Data in Madagascar,"Madagascar uses open-source tools such as DHIS2 and QGIS to geospatialize health data, enabling database management, automated indicators, spatial analysis, dashboards, and interactive web platforms.","DHIS2, QGIS"
15,1,Shifting from a monolithic to a scalable SDI architecture: is it worth it?,"This presentation concerns migrating an SDI from a single-machine, multi-container Docker architecture to a cluster-based solution, including performance testing results and evaluation of potential bottlenecks.",
16,1,GeoNode as a Foundation for Research Data Management Infrastructure,This work presents the adaptation of GeoNode into a FAIR-compliant research data management (RDM) infrastructure for agricultural science.,GeoNode
17,1,Current GIS Applications in Hokkaido Agriculture and Hokuren's FOSS4G Initiatives with QGIS,"This presentation introduces how GIS is currently used in agriculture in Hokkaido. We also present Hokuren's initiatives and future plans for utilizing FOSS4G technologies, particularly QGIS.",QGIS
18,1,Mapping Peace: A GIS-Based Storytelling Platform for Global Peace Education from Hiroshima,"This research develops interactive peace education platforms integrating GIS with storytelling functions. In 2025, all atomic bomb-related sites within five kilometers of Hiroshima's hypocenter were mapped on Re:Earth.",Re:Earth
19,1,The Challenge of Open Point Cloud Data: What has a local government brought to our communities?,"We introduce 'Virtual Shizuoka,' a high-density 3D point cloud dataset published as open data by Shizuoka prefecture. We present its use cases, focusing mainly on transforming the community through collaborative efforts.",
20,1,"""You are here"" - but what if I'm not?",Presenting a webapp to track your location on a photo of a physical map,
21,2,pgRouting project status,"pgRouting project status presentation. Come and find out the latest news on the project as well as future plans, and how to get involved!",pgRouting
22,2,City2Graph: Open Source Python Library for GeoAI with Graph Neural Networks,"City2Graph is an open-source Python library bridging GIS, network science, and geospatial artificial intelligence (GeoAI) with Graph Neural Networks (GNNs). It offers a unified pipeline with conversion between GeoPandas, NetworkX, and PyTorch Geometric.","GeoPandas, PyTorch"
23,2,Japan Geospatial Times: Exploring the History and Use Cases of Geospatial Technologies in Japan,"Exploring Japan's geospatial technology, history, use cases, and challenges through Japan Geospatial Times, an open-source blog documenting geospatial applications in Japan.",
24,2,Text2Transit: From SNS posts to Timetable Aware Multi-stop Train Itineraries with Open Geospatial Tools,We present an open geospatial workflow that adapts LLMs for structured geospatial extraction from SNS posts and uses optimization to generate timetable aware multi stop rail itineraries.,
25,2,The #1 plugin for QGIS,"First ever FOSS4G talk on QuickMapServices, the #1 QGIS plugin. Seriously.",QGIS
26,2,Leveraging Open Geospatial Data in Journalism: Visualization and Analysis Workflows at Nikkei Visual Data,"Nikkei Visual Data produces digital news content. This presentation introduces how FOSS4G technologies contribute to article production through visualization using MapLibre and vector tiles, as well as data analysis with tools such as QGIS.","MapLibre, QGIS"
27,2,"Sustaining Open Source: Real models, Real lessons","This session is aimed at developers, project leads, and organisational decision-makers navigating the question of how to sustain FOSS4G, with a clear framework for thinking about sustainability.",
